i,len
0,0
1,1
2,2
3,3
4,4
5,5
6,3
7,4
8,2
9,3
10,4
11,5
12,3
13,4
14,2
15,3
16,4
17,5
18,2
19,3
20,4
21,3
22,4
23,1
24,2
25,3
26,4
27,5
28,3
29,4
30,5
31,6
32,5
33,4
34,5
35,2
36,3
37,4
38,4
39,5
40,3
41,4
42,5
43,4
44,5
45,2
46,3
47,4
48,5
49,3
50,4
51,5
52,1
53,2
54,3
55,4
56,5
57,3
58,4
59,5
60,4
61,5
62,2
63,3
64,4
65,5
66,5
67,2
68,3
69,4
70,5
71,6
72,3
73,4
74,5
75,4
76,5
77,1
78,2
79,3
80,4
81,5
82,4
83,5
84,3
85,4
86,5
87,6
88,2
89,3
90,4
91,5
92,5
93,2
94,3
95,4
96,5
97,4
98,5
99,3
100,4
101,5
102,1
103,2
104,3
105,4
106,5
107,3
108,4
109,5
110,2
111,3
112,4
113,5
114,4
115,5
116,3
117,4
118,5
119,4
120,2
121,3
122,4
123,5
124,4
125,5
126,5
127,6
128,3
129,4
130,5
131,1
132,2
133,3
134,4
135,3
136,4
137,2
138,3
139,4
140,5
141,2
142,3
143,4
144,3
145,4
146,5
147,2
148,3
149,4
150,3
151,4
152,5
